Sw,Researcher,VulnIndividual,VulnGroup,VulnResTot,VulnSwTot,Tot
Dell iDRAC6/7/8,Sven Blumenstein,0,3,43,12,1447
Dulwich,Ivan Fratric,1,0,49,1,1447
easyXDM,Eduardo Vela,1,0,12,1,1447
ESET,Felix Groebert,1,0,24,1,1447
ESET Endpoint Antivirus,Jan Bee,0,1,5,2,1447
ESET Endpoint Antivirus,Jason Geffner,0,1,1,2,1447
ESET NOD32,Felix Groebert,0,1,24,3,1447
ESET NOD32,Gynvael Coldwind,0,1,202,3,1447
ESET NOD32,Mateusz Jurczyk,0,1,293,3,1447
Facebook,Eduardo Vela,1,0,12,1,1447
FFmpeg,Gynvael Coldwind,0,66,202,132,1447
FFmpeg,Mateusz Jurczyk,0,66,293,132,1447
"FFmpeg, libav",Gynvael Coldwind,0,23,202,46,1447
"FFmpeg, libav",Mateusz Jurczyk,0,23,293,46,1447
Foxit PDF Reader,Chris Evans,1,0,49,1,1447
FreeBSD,Clement Lecigne,1,0,5,1,1447
FreeType2,Mateusz Jurczyk,22,0,293,29,1447
FreeType2,Robert Swiecki,7,0,19,29,1447
Ghostscript,Chris Evans,1,0,49,1,1447
glibc,Kees Cook,1,0,4,1,1447
Google Chrome,Gynvael Coldwind,0,5,202,11,1447
Google Chrome,Ian Beer,1,0,108,11,1447
Google Chrome,Mateusz Jurczyk,0,5,293,11,1447
GRUB,Felix Groebert,1,0,24,1,1447
gzip,Tavis Ormandy,3,0,29,3,1447
hostapd/wpa_supplicant,Kostya Kortchinsky,1,0,5,1,1447
Hyper-V,Kostya Kortchinsky,0,3,5,6,1447
Hyper-V,Thomas Garnier,0,3,3,6,1447
IDA,Robert Swiecki,1,0,19,1,1447
Invensys HMI Reports,Billy Rios,2,0,30,2,1447
Invensys Information Portal,Billy Rios,3,0,30,3,1447
Java,Billy Rios,2,0,30,6,1447
Java,Chris Evans,3,0,49,6,1447
Java,Martin Straka,1,0,2,6,1447
JBoss Seam,Meder Kydyraliev,1,0,6,1,1447
Kakadu,Felix Groebert,1,0,24,1,1447
libcairo,Peter Valchev,1,0,2,1,1447
libexif,Mateusz Jurczyk,3,0,293,3,1447
libexpat,Peter Valchev,1,0,2,1,1447
libgif,Chris Evans,1,0,49,1,1447
libicu,Michele Spagnuolo,0,1,2,2,1447
libicu,Nicolas Ruff,0,1,6,2,1447
LibreSSL,Felix Groebert,1,0,24,1,1447
libtiff,Tavis Ormandy,3,0,29,3,1447
libVNCserver,Nicolas Ruff,5,0,6,5,1447
libxml,Chris Evans,1,0,49,1,1447
libxslt,Chris Evans,1,0,49,1,1447
LibYAML,Ivan Fratric,1,0,49,1,1447
Linux,Ben Hawkes,6,0,77,20,1447
Linux,Chris Evans,2,0,49,20,1447
Linux,James Forshaw,1,0,20,20,1447
Linux,Julien Tinnes,0,3,7,20,1447
Linux,Lars Bull,2,0,2,20,1447
Linux,Robert Swiecki,3,0,19,20,1447
Linux,Tavis Ormandy,0,3,29,20,1447
LittleCMS (lcms),Chris Evans,1,0,49,1,1447
Marcaria.com,Eduardo Vela,1,0,12,1,1447
Microsoft Excel,Ben Hawkes,0,1,77,3,1447
Microsoft Excel,Ivan Fratric,0,1,49,3,1447
Microsoft Excel,Mateusz Jurczyk,0,1,293,3,1447
Microsoft Graphics Component,Ben Hawkes,0,1,77,3,1447
Microsoft Graphics Component,Ivan Fratric,0,1,49,3,1447
Microsoft Graphics Component,Mateusz Jurczyk,0,1,293,3,1447
Microsoft Hotmail,Andrew Lyons,0,1,6,2,1447
Microsoft Hotmail,Drew Hintz,0,1,12,2,1447
Microsoft Office,Andrew Lyons,0,2,6,47,1447
Microsoft Office,Ben Hawkes,0,14,77,47,1447
Microsoft Office,Drew Hintz,0,1,12,47,1447
Microsoft Office,Fermin J. Serna,1,0,55,47,1447
Microsoft Office,Ivan Fratric,0,14,49,47,1447
Microsoft Office,Mateusz Jurczyk,0,14,293,47,1447
Microsoft Office,Neel Mehta,0,1,12,47,1447
"Microsoft Office, Communications Platforms, Server software, and Office Web Apps",Andrew Lyons,0,1,6,2,1447
"Microsoft Office, Communications Platforms, Server software, and Office Web Apps",Drew Hintz,0,1,12,2,1447
Microsoft OLE,Drew Hintz,0,1,12,3,1447
Microsoft OLE,Matty Pellegrino,0,1,2,3,1447
Microsoft OLE,Shane Huntley,0,1,2,3,1447
Microsoft Sharepoint,Andrew Lyons,0,1,6,20,1447
Microsoft Sharepoint,Ben Hawkes,0,6,77,20,1447
Microsoft Sharepoint,Drew Hintz,0,1,12,20,1447
Microsoft Sharepoint,Ivan Fratric,0,6,49,20,1447
Microsoft Sharepoint,Mateusz Jurczyk,0,6,293,20,1447
Microsoft Silverlight.net,Drew Hintz,1,0,12,1,1447
Microsoft VirtualPC,Julien Tinnes,0,1,7,2,1447
Microsoft VirtualPC,Tavis Ormandy,0,1,29,2,1447
Microsoft Windows,Billy Rios,2,0,30,63,1447
Microsoft Windows,Drew Hintz,0,3,12,63,1447
Microsoft Windows,Gynvael Coldwind,0,14,202,63,1447
Microsoft Windows,James Forshaw,12,0,20,63,1447
Microsoft Windows,Mateusz Jurczyk,10,14,293,63,1447
Microsoft Windows,Neel Mehta,1,3,12,63,1447
Microsoft Windows,Sumit Gwalani,0,3,3,63,1447
Microsoft Windows,Tavis Ormandy,1,0,29,63,1447
Microsoft Word,Ben Hawkes,0,1,77,6,1447
Microsoft Word,Drew Hintz,0,1,12,6,1447
Microsoft Word,Ivan Fratric,0,1,49,6,1447
Microsoft Word,Mateusz Jurczyk,0,1,293,6,1447
Microsoft Word,Matty Pellegrino,0,1,2,6,1447
Microsoft Word,Shane Huntley,0,1,2,6,1447
Microsoft XML Core Services,Google Security Team,1,0,5,1,1447
mimetex,Chris Evans,1,0,49,1,1447
Multiple Adobe products,Rich Cannings,1,0,2,1,1447
NetBSD and other kernels.,Julien Tinnes,0,1,7,2,1447
NetBSD and other kernels.,Tavis Ormandy,0,1,29,2,1447
Netflix,Eduardo Vela,1,0,12,1,1447
nginx,Ben Hawkes,1,0,77,2,1447
nginx,Ivan Fratric,1,0,49,2,1447
ntpd,Neel Mehta,0,6,12,12,1447
ntpd,Stephen Rottger,0,6,6,12,1447
nVidia graphics drivers,Kees Cook,3,0,4,3,1447
NVIDIA Windows driver,Oliver Chang,14,0,30,14,1447
ObiHai ObiPhone,David Tomaschik,1,0,1,1,1447
OpenBSD kernel,Chris Evans,1,0,49,1,1447
opencryptoki,Niels Heinen,2,0,7,2,1447
OpenSSL,Ben Laurie,1,0,3,40,1447
OpenSSL,David Benjamin,0,1,1,40,1447
OpenSSL,Emilia Kasper,3,10,13,40,1447
OpenSSL,Felix Groebert,0,2,24,40,1447
OpenSSL,Ian Beer,0,1,108,40,1447
OpenSSL,Ivan Fratric,0,2,49,40,1447
OpenSSL,Konrad Kraszewski (intern),0,1,1,40,1447
OpenSSL,Mark Brand,0,1,1,40,1447
OpenSSL,Michal Zalewski,0,7,51,40,1447
OpenSSL,Neel Mehta,1,0,12,40,1447
OpenSSL,Robert Swiecki,2,4,19,40,1447
OpenSSL,Sean Burford,0,3,3,40,1447
OpenSSL,Tavis Ormandy,1,0,29,40,1447
OpenType Sanitizer,Mateusz Jurczyk,1,0,293,1,1447
Oracle Agile PLM,Sven Blumenstein,37,0,43,37,1447
Oracle Java Applets,Eduardo Vela,1,0,12,1,1447
pcre,Chris Evans,1,0,49,1,1447
PHP,Felix Groebert,1,2,24,5,1447
PHP,Ivan Fratric,0,2,49,5,1447
pppd,Lee Campbell,1,0,1,1,1447
Pulseaudio,Julien Tinnes,0,1,7,2,1447
Pulseaudio,Tavis Ormandy,0,1,29,2,1447
Python,Chris Evans,1,0,49,2,1447
Python,Niels Heinen,1,0,7,2,1447
QCMS,Felix Groebert,1,0,24,1,1447
Ruby on Rails,Felix Groebert,1,0,24,1,1447
Siemens WinCC,Billy Rios,5,0,30,5,1447
Squid,Ben Hawkes,1,0,77,1,1447
SSL 3.0,Bodo Moller,0,1,1,3,1447
SSL 3.0,Krzysztof Kotowicz,0,1,2,3,1447
SSL 3.0,Thai Duong,0,1,2,3,1447
Struts2/XWork,Meder Kydyraliev,2,0,6,2,1447
Suricata,Kostya Kortchinsky,1,0,5,1,1447
System Center 2012 Endpoint Protection for Mac,Felix Groebert,1,0,24,1,1447
Tencent QQ Webmail,Andrew Lyons,0,1,6,2,1447
Tencent QQ Webmail,Drew Hintz,0,1,12,2,1447
Tridium Niagara,Billy Rios,4,0,30,4,1447
Various OpenID providers,Ben Laurie,1,0,3,1,1447
VMware,Julien Tinnes,0,1,7,2,1447
VMware,Tavis Ormandy,0,1,29,2,1447
w3m,Kuang-che Wu,35,0,35,35,1447
Xorg,Daniel Kurtz,0,1,1,2,1447
Xorg,Ken Mixter,0,1,1,2,1447
